experiment_type,record_level,w_num,l_num,totes_num,orders_num,picking_station_num,robot_num,regular_robot_num,reserved_robot_num,station_buffer_bound,regular_station_buffer_bound,reserved_station_buffer_bound,seed,solver_type,objective_type,emergency_tote_count,emergency_replications_per_configuration,emergency_arrival_ratio,emergency_arrival_time,regular_makespan_no_reservation,regular_makespan_with_reservation,regular_tct_no_reservation,regular_tct_with_reservation,regular_makespan_cost,regular_tct_cost,baseline_response_delay,reserved_response_delay,response_benefit,baseline_completion_time,reserved_completion_time,completion_benefit,baseline_feasibility_rate,reserved_feasibility_rate,baseline_tail_time,reserved_tail_time,baseline_waiting_position,reserved_waiting_position,regular_no_reservation_runtime_sec,regular_with_reservation_runtime_sec,regular_no_reservation_mip_gap,regular_with_reservation_mip_gap,baseline_waiting_indicator,regular_instance_label
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,8,0,1,alns,makespan,5,3,0.1,108.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.93310832977295,13.52007532119751,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,8,0,1,alns,makespan,5,3,0.3,325.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.93310832977295,13.52007532119751,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,8,0,1,alns,makespan,5,3,0.5,542.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.93310832977295,13.52007532119751,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,7,1,1,alns,makespan,5,3,0.1,108.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.742472410202026,13.335108757019043,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,7,1,1,alns,makespan,5,3,0.3,325.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.742472410202026,13.335108757019043,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,7,1,1,alns,makespan,5,3,0.5,542.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.742472410202026,13.335108757019043,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,6,2,1,alns,makespan,5,3,0.1,108.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.95202350616455,13.42399287223816,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,6,2,1,alns,makespan,5,3,0.3,325.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.95202350616455,13.42399287223816,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,10,0,8,6,2,1,alns,makespan,5,3,0.5,542.5,1085,1088,,,3,,287.0,,,701.0,,,1,0,0,0,1,1,13.95202350616455,13.42399287223816,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,8,0,1,alns,makespan,5,3,0.1,108.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.698890447616577,13.12999176979065,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,8,0,1,alns,makespan,5,3,0.3,325.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.698890447616577,13.12999176979065,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,8,0,1,alns,makespan,5,3,0.5,542.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.698890447616577,13.12999176979065,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,7,1,1,alns,makespan,5,3,0.1,108.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.76324200630188,13.118663787841797,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,7,1,1,alns,makespan,5,3,0.3,325.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.76324200630188,13.118663787841797,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,7,1,1,alns,makespan,5,3,0.5,542.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.76324200630188,13.118663787841797,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,6,2,1,alns,makespan,5,3,0.1,108.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.729944467544556,13.081648588180542,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,6,2,1,alns,makespan,5,3,0.3,325.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.729944467544556,13.081648588180542,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,9,1,8,6,2,1,alns,makespan,5,3,0.5,542.5,1085,1095,,,10,,287.0,,,701.0,,,1,0,0,0,1,1,13.729944467544556,13.081648588180542,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,8,0,1,alns,makespan,5,3,0.1,108.5,1085,1109,,,24,,287.0,409.0,-122.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.67153549194336,13.53030014038086,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,8,0,1,alns,makespan,5,3,0.3,325.5,1085,1109,,,24,,287.0,409.0,-122.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.67153549194336,13.53030014038086,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,8,0,1,alns,makespan,5,3,0.5,542.5,1085,1109,,,24,,287.0,409.0,-122.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.67153549194336,13.53030014038086,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,7,1,1,alns,makespan,5,3,0.1,108.5,1085,1109,,,24,,287.0,409.0,-122.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.722524881362915,13.621867418289185,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,7,1,1,alns,makespan,5,3,0.3,325.5,1085,1109,,,24,,287.0,409.0,-122.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.722524881362915,13.621867418289185,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,7,1,1,alns,makespan,5,3,0.5,542.5,1085,1109,,,24,,287.0,409.0,-122.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.722524881362915,13.621867418289185,,,0,w6_l18_n10_o10_k10_p5_seed1
emergency_reservation,cleaned_configuration_record,6,18,10,10,5,10,8,2,8,6,2,1,alns,makespan,5,3,0.1,108.5,1085,1109,,,24,,287.0,596.0,-309.0,701.0,709.0,-8.0,1,1,0,0,1,1,13.715706825256348,13.551572799682617,,,0,w6_l18_n10_o10_k10_p5_seed1
